Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
Clint Capela,ATL,C,74,27.6,11.1,11.9,1.2,5,7.8,61.3,0,0
John Collins,ATL,PF,54,30.8,16.2,7.8,1.8,6,11,52.6,1.2,3.3
Trae Young,ATL,PG,76,34.9,28.4,3.7,9.7,9.1,20.3,46,2.9,8
De'Andre Hunter,ATL,SF,53,29.8,13.4,3.3,1.3,5,11,44.2,1.5,4.2
Bogdan Bogdanović,ATL,SG,27,29.7,15.1,4,3.1,5.5,12.8,43.1,2.7,7.4
Robert Williams III,BOS,C,61,29.6,10,9.6,2,4.3,5.1,73.6,0,0
Al Horford,BOS,PF,69,29.1,10.2,7.7,3.4,3.8,8.4,46.7,1.3,4.2
Marcus Smart,BOS,PG,71,32.3,12.1,3.8,5.9,4.1,10.6,41.8,1.7,5.5
Jayson Tatum,BOS,SF,76,35.9,26.9,8,4.4,9.1,20.6,45.3,3,8.6
Jaylen Brown,BOS,SG,66,33.6,23.6,6.1,3.5,8.7,18.4,47.3,2.5,7
Nic Claxton,BKN,C,19,20.7,8.7,5.6,0.9,3.5,5.4,67.4,0,0
Blake Griffin,BKN,PF,24,17.1,6.4,4.1,1.9,2.3,6,38.3,0.8,2.6
Kyrie Irving,BKN,PG,29,37.6,27.4,4.4,5.8,10.1,20.8,47,3.4,8.2
Kevin Durant,BKN,SF,55,37.2,29.9,7.4,6.4,10.6,20.3,52,2.1,5.5
James Harden,BKN,SG,44,37,22.5,8,10.2,7,16.7,41.4,2.3,7
Mason Plumlee,CHA,C,73,24.6,6.5,7.7,3.1,2.7,4.5,64.1,0,0
Miles Bridges,CHA,SF,80,35.5,20.2,7,3.8,7.5,15.5,49.1,1.9,5.7
LaMelo Ball,CHA,PG,75,32.3,20.1,6.7,7.6,7,15.6,42.9,2.9,7.5
Gordon Hayward,CHA,SF,49,31.9,15.9,4.6,3.6,5.8,12,45.9,1.8,4.7
Terry Rozier,CHA,SG,73,33.7,19.3,4.3,4.5,7,15.5,44.4,3,8
Nikola Vučević,CHI,C,73,33.1,17.6,11,3.2,7.3,15.8,47.3,1.5,4.5
Patrick Williams,CHI,PF,17,24.8,9,4.1,0.9,3.4,7,52.9,0.9,2
Lonzo Ball,CHI,PG,35,34.6,13,5.4,5.1,4.6,11.4,42.3,3.1,7.4
DeMar DeRozan,CHI,SF,76,36.1,27.9,5.2,4.9,10.2,20.2,50.4,0.7,1.9
Zach LaVine,CHI,SG,67,34.7,24.4,4.6,4.5,8.5,17.7,47.6,2.8,7.1
Jarrett Allen,CLE,C,56,32.3,16.1,10.8,1.6,6.5,9.6,67.7,0,0.1
Evan Mobley,CLE,PF,69,33.8,15,8.3,2.5,6.2,12,50.8,0.3,1.3
Darius Garland,CLE,PG,68,35.7,21.7,3.3,8.6,7.5,16.2,46.2,2.9,7.6
Isaac Okoro,CLE,SG,61,29.6,8.8,3,1.8,3.2,6.5,48,0.9,2.5
Collin Sexton,CLE,SG,11,28.7,16,3.3,2.1,6,13,45,0.9,3.3
Dwight Powell,DAL,C,71,21.9,8.7,4.9,1.2,3.2,4.8,67.1,0,0.1
Dorian Finney-Smith,DAL,SF,80,33.1,11,4.7,1.9,3.9,8.5,47.1,2.2,5.4
Luka Dončić,DAL,PG,65,35.4,28.4,9.1,8.7,10.1,21.6,45.7,3.1,8.8
Reggie Bullock,DAL,SG,37,28,8.6,3.5,1.2,3,7.5,40.9,2,5.8
Jalen Brunson,DAL,PG,61,31.9,16.3,3.9,4.8,6.3,12.5,50.2,1.2,3.2
Nikola Jokić,DEN,C,74,33.5,27.1,13.8,7.9,10.6,17.7,58.3,1.3,3.9
Aaron Gordon,DEN,PF,75,31.7,15,5.9,2.5,5.7,10.5,52,1.2,3.5
Monte Morris,DEN,PG,74,29.9,12.6,3,4.4,4.8,10.1,48.4,1.7,4.2
Michael Porter Jr.,DEN,SF,9,29.4,9.9,6.6,1.9,3.6,9.3,35.9,1.1,4.4
Will Barton,DEN,SG,71,32.1,14.7,4.8,3.9,5.5,13,43.8,2.2,6
Jalen Duren,DET,C,31,24,8,8.2,1,3.3,5.5,60,0,0
Isaiah Stewart,DET,PF,31,28.9,11.6,8.1,1.3,4.2,9,46.7,1.3,4.1
Cade Cunningham,DET,PG,12,33.3,19.9,6.2,6,7.5,18.1,41.5,1.4,5.1
