Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
Trae Young,ATL,PG,73,34.8,26.2,3,10.2,8.3,20.3,41,2.1,7
Dejounte Murray,ATL,SG,74,36.4,20.5,5.3,6.1,8.1,17.6,46,1.8,5
De'Andre Hunter,ATL,SF,67,31.7,15.4,4.2,1.4,5.7,12.3,46.3,1.5,4.5
John Collins,ATL,PF,71,30,13.1,6.5,1.2,5,10.5,47.6,1,3.3
Clint Capela,ATL,C,65,26.6,12,11,0.9,5.3,8,66,0,0
Marcus Smart,BOS,PG,61,32.1,11.5,3.1,6.3,4,9.7,41.2,1.9,5.6
Jaylen Brown,BOS,SG,67,35.9,26.6,6.9,3.5,10,20.6,48.6,2.4,7.3
Jayson Tatum,BOS,SF,74,36.9,30.1,8.8,4.6,10.5,22,47.5,3.2,9.3
Al Horford,BOS,PF,63,30.5,9.8,6.2,3,3.5,7.3,48,2.3,5.5
Robert Williams III,BOS,C,35,23.5,8,8.3,1.4,3.4,5,68,0,0
Kyrie Irving,BKN,PG,60,37.2,27.1,5.1,5.5,9.6,20.2,47.5,3.3,8.3
Seth Curry,BKN,SG,42,19.9,9.2,1.6,1.6,3.3,7.3,45.2,1.8,4.4
Kevin Durant,BKN,SF,47,35.7,29.1,6.7,5,10,17.2,51.8,1.8,5
Royce O'Neale,BKN,PF,53,31,8.8,5.1,3.7,3,7.1,42.3,2.1,5.5
Nic Claxton,BKN,C,76,29.9,12.6,9.2,1.9,5.5,7,70.5,0,0
LaMelo Ball,CHA,PG,36,35.2,23.3,6.4,8.4,8,19.4,41.1,4,11.5
Terry Rozier,CHA,SG,63,35.3,21.1,4.1,5.1,7.8,18.9,41.5,2.6,8
Gordon Hayward,CHA,SF,50,31.5,14.7,4.3,4.1,5.5,11.2,49,1,3
P.J. Washington,CHA,PF,73,32.6,15.7,4.9,2.4,6,13.4,44.4,2,5.7
Mason Plumlee,CHA,C,79,26.5,10.8,8.9,3.1,4.4,6.8,65,0,0.1
Ayo Dosunmu,CHI,PG,51,26.2,8.6,2.8,2.6,3.3,7,47.1,0.9,2.6
Zach LaVine,CHI,SG,77,36,24.8,4.5,4.2,8.6,18.1,47.5,2.6,7.1
DeMar DeRozan,CHI,SF,74,36.1,24.5,4.6,5.1,8.7,17.3,50.3,0.6,1.9
Patrick Williams,CHI,PF,65,28.3,10.2,4,1.2,3.7,8,46.3,1.4,3.8
Nikola Vučević,CHI,C,82,33.5,17.6,11,3.2,7.3,14.1,51.4,1.5,4.2
Darius Garland,CLE,PG,69,35.5,21.6,2.7,7.8,7.5,16.1,46.2,2.5,6.7
Donovan Mitchell,CLE,SG,68,35.8,28.3,4.3,4.4,9.9,20.6,48,3.6,9.3
Caris LeVert,CLE,SF,30,30,12.1,3.8,3.9,4.3,10,43.1,1.6,4.1
Evan Mobley,CLE,PF,79,34.4,16.2,9,2.8,6.7,12,55.4,0.3,1.3
Jarrett Allen,CLE,C,68,32.6,14.3,9.8,1.7,5.8,9.3,62.6,0,0.1
Luka Dončić,DAL,PG,66,36.2,32.4,8.6,8,11.1,22.3,49.8,2.8,8
Spencer Dinwiddie,DAL,SG,68,34,17.3,3.4,5.8,5.8,13,44.6,2.5,6.5
Tim Hardaway Jr.,DAL,SF,71,30.3,14.4,3.5,1.8,4.8,12,40,2.9,8
Dorian Finney-Smith,DAL,PF,65,31.2,8.3,4.6,1.5,2.9,7,41.4,1.9,5.5
Dwight Powell,DAL,C,76,19.2,6.7,4.1,0.9,2.5,3.8,65.8,0,0.1
Jamal Murray,DEN,PG,65,32.8,20,4,6.2,7.3,16.1,45.4,2.6,6.5
Kentavious Caldwell-Pope,DEN,SG,76,31.3,10.8,2.7,2.4,4,8.6,46.2,1.8,4.3
Michael Porter Jr.,DEN,SF,62,29,17.4,5.5,1,6.7,13.8,48.7,2.5,6
Aaron Gordon,DEN,PF,68,30.2,16.3,6.6,3,6.1,10.8,56.4,0.9,2.6
Nikola Jokić,DEN,C,69,33.7,24.5,11.8,9.8,9.3,14.7,63.2,0.9,2.3
Cade Cunningham,DET,PG,12,33.3,19.9,6.2,6,7.3,18.1,41.5,1.4,5.1
Jaden Ivey,DET,SG,73,31.1,16.3,3.9,5.2,5.8,13.6,41.6,1.6,5.2
Bojan Bogdanović,DET,SF,59,32,21.6,3.8,2.6,7.3,14.5,48.8,2.5,6
Isaiah Stewart,DET,PF,47,28.3,11.3,8.1,1.4,4,9,44.2,1.3,4.1
Jalen Duren,DET,C,31,24.9,9.1,8.9,1.1,3.8,6,63.9,0,0
Stephen Curry,GSW,PG,56,34.7,29.4,6.1,6.3,10.2,20.2,49.3,4.9,11.4
Klay Thompson,GSW,SG,69,33,21.9,4.1,2.4,7.8,18.1,43.6,4.4,10.6
Andrew Wiggins,GSW,SF,37,32.2,17.1,5,2.3,6.5,14,47.3,2.4,6
Draymond Green,GSW,PF,73,31.5,8.5,7.2,6.8,3.3,6.4,52.7,0.6,2
Kevon Looney,GSW,C,82,23.9,7,9.3,2.5,3,4.5,63,0,0
Kevin Porter Jr.,HOU,PG,59,34.3,19.2,5.3,5.7,6.8,15.3,44.2,2.3,6.6
Jalen Green,HOU,SG,76,34.2,22.1,3.7,3.7,7.7,18.3,42.7,2.5,7.3
Eric Gordon,HOU,SF,69,28.5,12.4,2.1,2.7,4.2,9.5,44.6,1.9,5.3
Jabari Smith Jr.,HOU,PF,79,31,12.8,7.2,1.3,4.7,11.4,40.8,1.6,5.6
Alperen Şengün,HOU,C,72,28.9,14.8,9,3.9,6,10.2,55.3,0.2,0.7
Tyrese Haliburton,IND,PG,56,33.6,20.7,3.7,10.4,7.1,14.5,49,2.9,7.2
Buddy Hield,IND,SG,73,31,16.8,5,2.8,6,13,46,3.6,8.5
Bennedict Mathurin,IND,SF,17,28.5,16.7,4.1,1.5,5.2,12,43.4,1.3,4.2
Jalen Smith,IND,PF,31,18.8,9.4,5.8,1,3.5,7.5,46.5,0.8,2.5
Myles Turner,IND,C,62,29.4,18,7.5,1.4,6.3,11.2,56,1.5,4.2
Reggie Jackson,LAC,PG,68,25.7,10.2,2.2,3.4,3.7,9.2,40.8,1.5,4.5
Paul George,LAC,SG,56,34.6,23.8,6.1,5.1,8.1,17.6,45.7,2.8,7.3
Kawhi Leonard,LAC,SF,52,33.6,23.8,6.5,3.9,8.9,17,51.2,1.9,4.9
Marcus Morris Sr.,LAC,PF,65,28.1,11.2,4,1.8,4.1,10,41,1.7,5
Ivica Zubac,LAC,C,76,28.6,10.8,9.9,1,4.3,7,63.4,0,0
Russell Westbrook,LAL,PG,24,29.1,15.9,5.8,7.5,5.9,13.6,43.6,1.2,3.9
Patrick Beverley,LAL,SG,54,26.9,6.2,3.7,2.9,2.2,5.6,39.5,1.4,4.1
Lonnie Walker IV,LAL,SF,32,23.2,11.7,1.9,1.1,4.3,9.5,44.8,1.6,4.2
LeBron James,LAL,PF,55,35.5,28.9,8.3,6.8,11.1,22.2,50,2.2,6.9
Anthony Davis,LAL,C,54,34,25.9,12.5,2.6,9.3,16.6,56.3,0.4,1.2
Ja Morant,MEM,PG,59,31.9,26.2,5.9,8.1,9.1,19.4,46.6,1.5,4.5
Desmond Bane,MEM,SG,58,31.7,21.5,5,4.4,7.5,15.3,49,2.9,7
Dillon Brooks,MEM,SF,73,30.3,14.3,3.3,2.6,5.3,13.6,39.6,2,6
Jaren Jackson Jr.,MEM,PF,63,28.4,18.6,6.8,1,6.5,13.1,49.4,1.6,4.4
Steven Adams,MEM,C,42,27,8.6,11.5,2.3,3.4,5.8,59.7,0,0.1
Kyle Lowry,MIA,PG,44,33.3,11.2,4.1,5.1,3.9,9.5,41.2,2,5.8
Tyler Herro,MIA,SG,67,34.9,20.1,5.4,4.2,7.3,16,45.6,3,7.5
Jimmy Butler,MIA,SF,64,33.9,22.9,5.9,5.3,7.2,13.6,52.9,0.6,1.6
Caleb Martin,MIA,PF,49,29.3,9.6,4.8,1.6,3.5,7.5,46.7,1.3,3.5
Bam Adebayo,MIA,C,75,34.6,20.4,9.2,3.2,8,14.8,54,0,0.1
Jrue Holiday,MIL,PG,65,33.4,19.3,5.1,7.4,7.2,14.5,49.7,2.4,6.1
Grayson Allen,MIL,SG,70,27.4,10.1,3.3,2.3,3.5,7.8,44.9,2,5
Khris Middleton,MIL,SF,33,24.3,15.1,4.2,4.9,5.4,12.1,44,1.8,5
Giannis Antetokounmpo,MIL,PF,63,32.1,31.1,11.8,5.7,11.3,20.3,55.7,0.7,2.7
Brook Lopez,MIL,C,78,30.4,15.9,6.7,1.3,5.8,11,52.7,1.7,4.7
D'Angelo Russell,MIN,PG,71,32.5,17.8,3,6.2,6.4,13.8,46.9,2.7,7
Anthony Edwards,MIN,SG,79,36,24.6,5.8,4.4,9,20.3,45.9,2.7,7.3
Jaden McDaniels,MIN,SF,79,30.6,12.1,3.9,1.9,4.7,9,51.7,1.4,3.8
Karl-Anthony Towns,MIN,PF,29,33,20.8,8.1,4.8,6.8,14,49.5,2.1,5.4
Rudy Gobert,MIN,C,70,30.7,13.4,11.6,1.2,5,7.7,65.9,0,0
CJ McCollum,NOP,PG,75,35.3,20.9,4.4,5.7,7.6,17.3,43.7,2.9,8.4
Brandon Ingram,NOP,SG,45,34.2,24.7,5.5,5.8,9,18.1,49.1,1.4,4.1
Herbert Jones,NOP,SF,66,29.7,9.8,4.1,2.5,3.6,7.6,46.9,0.9,2.8
Zion Williamson,NOP,PF,29,33,26,7,4.6,9.5,15.6,60.8,0.2,0.6
Jonas Valančiūnas,NOP,C,79,24.9,14.1,10.2,1.8,5.5,9.8,55,0.4,1.3
Jalen Brunson,NYK,PG,68,35,24,3.5,6.2,8.6,17.6,49.1,2,4.7
Quentin Grimes,NYK,SG,66,29.9,11.3,3.2,2.1,4.1,9,45.9,2.2,5.7
RJ Barrett,NYK,SF,73,33.9,19.6,5,2.8,6.8,16,42.6,1.7,5.2
Julius Randle,NYK,PF,77,35.5,25.1,10,4.1,8.7,19.4,44.8,2.8,8.3
Mitchell Robinson,NYK,C,58,27,7.4,9.4,0.9,3.2,4.3,67.1,0,0
Shai Gilgeous-Alexander,OKC,PG,68,35.5,31.4,4.8,5.5,10.7,20.3,52.6,1,2.5
Josh Giddey,OKC,SG,76,31.1,16.6,7.9,6.2,6.5,13.8,47.6,1,3.5
Luguentz Dort,OKC,SF,74,30.7,13.7,4.6,2.1,4.5,11.5,39.1,1.8,5.7
Jalen Williams,OKC,PF,75,30.3,14.1,4.5,3.3,5.5,10.2,52.1,1.4,3.4
Jeremiah Robinson-Earl,OKC,C,43,18.9,6.8,4.2,0.9,2.6,6,43.2,0.9,2.7
Markelle Fultz,ORL,PG,60,29.6,14,3.9,5.7,5.8,11.3,51.4,0.4,1.4
Jalen Suggs,ORL,SG,53,23.5,9.9,3,2.9,3.5,8.4,41.9,1.2,3.8
Franz Wagner,ORL,SF,80,32.6,18.6,4.1,3.5,6.7,14,48.5,1.6,4.5
Paolo Banchero,ORL,PF,72,33.8,20,6.9,3.7,6.5,15.3,42.7,1.2,4
Wendell Carter Jr.,ORL,C,57,29.9,15.2,8.7,2.3,5.6,11,50.3,1.4,3.9
James Harden,PHI,PG,58,36.8,21,6.1,10.7,6.5,14.9,43.6,2.8,7.3
Tyrese Maxey,PHI,SG,60,33.6,20.3,2.9,3.5,7.2,15.3,47.3,2.7,6.2
Tobias Harris,PHI,SF,74,32.9,14.7,5.7,2.5,5.6,11.5,48.7,1.7,4.4
P.J. Tucker,PHI,PF,75,25.6,3.5,3.9,0.8,1.3,3,42.7,0.9,2.3
Joel Embiid,PHI,C,66,34.6,33.1,10.2,4.2,11.5,20,54.8,1,3
Chris Paul,PHO,PG,59,32,13.9,4.3,8.9,5.1,11,46.4,1.7,4.3
Devin Booker,PHO,SG,53,34.6,27.8,4.5,5.5,10,20.2,49.4,2.1,5.5
Mikal Bridges,PHO,SF,82,35.6,20.1,4.4,3.3,7.3,14.5,50.1,2,5
Cameron Johnson,PHO,PF,42,24.9,13.9,3.5,1.5,4.8,10,47,2.5,6
Deandre Ayton,PHO,C,67,30.4,18,10,1.7,8.1,13.5,59,0.1,0.2
Damian Lillard,POR,PG,58,36.3,32.2,4.8,7.3,9.8,20.7,47.2,4.2,11.3
Anfernee Simons,POR,SG,62,35,21.1,2.6,4.1,7.6,17.6,43.7,3.4,9.1
Josh Hart,POR,SF,51,33.4,9.5,8.2,3.9,3.7,7.3,50.4,0.8,2.6
Jerami Grant,POR,PF,63,35.7,20.5,4.5,2.4,7,14.6,47.5,2.3,6.1
Jusuf Nurkić,POR,C,52,26.8,13.3,9.1,2.9,5,10,51.9,0.8,2.5
